"long","lat","year"
133.084014,-14.911106,"2014.66575342466"
145.9,-17.7,"2021.2602739726"
153.241776,-28.659166,"2021.28767123288"
153.088168,-27.319793,"2021.26575342466"
132.173889,-14.515277,"2021.32602739726"
152.740159,-27.564554,"2021.23561643836"
152.107292,-27.256954,"2021.21369863014"
152.740045,-27.56558,"2021.23561643836"
145.738937,-16.910822,"2021.3397260274"
153.064369,-27.413327,"2020.97540983607"
152.8,-27.4,"2021.19726027397"
152.958267,-27.484472,"2021.23287671233"
152.937718,-27.260102,"2021.32328767123"
147.85,-20.3,"2021.30410958904"
145.76645,-16.91655,"2021.30136986301"
153.109204,-27.426974,"2021.21095890411"
153.396091,-28.792593,"2021.22191780822"
153.049244,-28.849532,"2021.03561643836"
130.917038,-12.436533,"2021.39452054795"
132.811525,-12.860466,"2021.34794520548"
153.131833,-27.489835,"2021.37534246575"
152.89362,-25.286689,"2020.99726775956"
143.341187,-18.542655,"2021.36438356164"
145.340163,-16.595633,"2016.03551912568"
145.46997,-16.076758,"2016.96448087432"
153.040558,-26.049438,"2021.36438356164"
128.335584,-17.454322,"2017.44109589041"
152.833522,-27.433363,"2017.88767123288"
153.035888,-27.379766,"2021.36712328767"
139.492049,-20.713324,"2019.32876712329"
153.38707,-28.725122,"2021.35890410959"
145.749409,-16.894167,"2019.52876712329"
153.103469,-27.650305,"2021.34520547945"
141.862793,-12.634235,"2021.35068493151"
130.868864,-12.371995,"2021.35342465753"
130.993085,-12.506723,"2021.3397260274"
153.316133,-27.99006,"2021.33150684932"
145.702934,-16.908099,"2021.3095890411"
153.400009,-28.666611,"2018.68493150685"
153.043,-28.883,"2017.96438356164"
153.219234,-28.637956,"2018.09863013699"
153.513841,-28.68955,"2018.92602739726"
153.405,-28.273,"2018.29589041096"
153.565,-28.34,"2018.88493150685"
153.441,-28.386,"2019.70410958904"
153.534,-28.218,"2018.81917808219"
153.405,-28.273,"2018.75890410959"
153.405261,-28.272709,"2018.34520547945"
153.565,-28.34,"2018.88767123288"
153.405248,-28.272715,"2018.34520547945"
153.357,-28.755,"2018.14794520548"
153.219145,-28.638401,"2018.14246575342"
153.537114,-28.330773,"2018.87945205479"
153.3,-28.8,"2018.92054794521"
153.372,-28.341,"2017.98630136986"
153.25,-28.58,"2019.10136986301"
153.236,-28.333,"2019.21369863014"
153.405,-28.273,"2018.29589041096"
153.578,-28.278,"2018.8904109589"
153.357,-29.445,"2018.33698630137"
153.44,-28.84,"2017.88767123288"
153.219211,-28.637771,"2018.14520547945"
153.407,-28.72,"2018.15068493151"
